# type=slide_drags viewport=1280x720 start=513,414 end=769,413 mousedown_t=1.786
t,rx,ry
0,-0.0399,0.1794
0.016,-0.0558,0.1634
0.035,-0.0678,0.1515
0.055,-0.0678,0.1435
0.066,-0.0678,0.1316
0.083,-0.0678,0.1236
0.1,-0.0638,0.1156
0.116,-0.0598,0.1076
0.133,-0.0518,0.1036
0.149,-0.0439,0.0997
0.166,-0.0319,0.0957
0.182,-0.0199,0.0877
0.199,-0.012,0.0837
0.215,-0.004,0.0797
0.233,0,0.0757
0.249,0.004,0.0678
0.265,0.008,0.0638
0.282,0.012,0.0598
0.3,0.012,0.0558
0.317,0.012,0.0518
0.332,0.012,0.0478
0.352,0.012,0.0439
0.364,0.012,0.0399
0.382,0.012,0.0359
0.4,0.012,0.0319
0.417,0.012,0.0319
0.432,0.012,0.0239
0.449,0.012,0.0199
0.465,0.012,0.0159
0.482,0.012,0.012
0.499,0.012,0.008
0.516,0.012,0.008
0.534,0.012,0.008
0.568,0.012,0.008
0.607,0.008,0.008
0.666,0.008,0.008
0.703,0.008,0.008
0.727,0.008,0.008
0.743,0.004,0.008
0.751,0.004,0.008
0.768,0.004,0.008
0.782,0.004,0.008
0.8,0,0.008
0.817,0,0.008
0.832,-0.004,0.004
0.848,-0.008,0.004
0.865,-0.012,0.004
0.883,-0.016,0.004
0.898,-0.0199,0.004
0.916,-0.0199,0.004
0.932,-0.0199,0.004
0.951,-0.0239,0.004
0.975,-0.0239,0.004
0.99,-0.0239,0.004
1.135,-0.0239,0.004
1.142,-0.0239,0.004
1.153,-0.0199,0.004
1.174,-0.0199,0.004
1.184,-0.0199,0.004
1.2,-0.016,0.004
1.216,-0.016,0.008
1.233,-0.016,0.008
1.249,-0.016,0.008
1.267,-0.016,0.008
1.283,-0.016,0.008
1.3,-0.012,0.008
1.35,-0.012,0.008
1.368,-0.012,0.008
1.383,-0.012,0.008
1.401,-0.012,0.008
1.417,-0.008,0.008
1.435,-0.008,0.004
1.462,-0.008,0.004
1.494,-0.008,0.004
1.518,-0.008,0.004
1.549,-0.008,0
1.568,-0.008,0
1.582,-0.004,0
1.6,-0.004,0
1.616,-0.004,0
1.633,0,0
1.786,0,0
2.117,0,0
2.136,0,0
2.15,0,0
2.177,0.004,0
2.185,0.004,0
2.202,0.008,0
2.217,0.012,0
2.234,0.0199,0
2.251,0.0359,0
2.268,0.0558,-0.004
2.284,0.0877,-0.004
2.301,0.1276,-0.004
2.318,0.1715,-0.004
2.335,0.2074,-0.004
2.351,0.2353,-0.004
2.367,0.2552,-0.004
2.386,0.2672,-0.004
2.402,0.2751,-0.004
2.417,0.2751,-0.004
2.452,0.2751,-0.004
2.533,0.2791,-0.004
2.567,0.2791,-0.004
2.585,0.2791,-0.004
2.6,0.2911,0
2.617,0.3031,0
2.634,0.319,0.004
2.65,0.335,0.004
2.666,0.3549,0.008
2.683,0.3669,0.008
2.701,0.3828,0.008
2.716,0.3908,0.008
2.733,0.3988,0.008
2.751,0.4067,0.008
2.768,0.4107,0.008
2.784,0.4107,0.008
2.8,0.4147,0.008
2.816,0.4147,0.008
2.833,0.4147,0.008
2.851,0.4187,0.008
2.866,0.4187,0.008
2.883,0.4227,0.008
2.901,0.4227,0.008
2.916,0.4267,0.008
2.951,0.4267,0.008
2.968,0.4307,0.008
2.984,0.4307,0.008
3.001,0.4307,0.008
3.017,0.4346,0.008
3.035,0.4386,0.008
3.051,0.4426,0.008
3.067,0.4506,0.008
3.084,0.4546,0.008
3.101,0.4626,0.008
3.117,0.4705,0.008
3.135,0.4825,0.008
3.152,0.4905,0.008
3.168,0.4984,0.012
3.185,0.5064,0.012
3.2,0.5144,0.012
3.217,0.5184,0.012
3.234,0.5264,0.012
3.251,0.5303,0.012
3.268,0.5343,0.012
3.284,0.5383,0.012
3.301,0.5423,0.012
3.318,0.5423,0.012
3.334,0.5463,0.012
3.351,0.5463,0.012
3.367,0.5503,0.012
3.384,0.5543,0.012
3.401,0.5583,0.012
3.418,0.5622,0.012
3.433,0.5702,0.012
3.452,0.5822,0.012
3.467,0.5902,0.008
3.484,0.6021,0.008
3.501,0.6141,0.004
3.517,0.6221,0
3.533,0.63,-0.004
3.551,0.638,-0.004
3.568,0.642,-0.004
3.585,0.646,-0.004
3.602,0.65,-0.008
3.618,0.654,-0.008
3.634,0.654,-0.008
3.651,0.658,-0.008
3.668,0.658,-0.008
3.684,0.6619,-0.008
3.702,0.6659,-0.008
3.718,0.6739,-0.008
3.735,0.6819,-0.008
3.751,0.6938,-0.008
3.768,0.7058,-0.008
3.784,0.7178,-0.008
3.802,0.7257,-0.008
3.817,0.7337,-0.008
3.835,0.7417,-0.008
3.851,0.7497,-0.008
3.868,0.7537,-0.012
3.883,0.7576,-0.012
3.901,0.7616,-0.012
3.918,0.7616,-0.012
3.967,0.7616,-0.012
3.985,0.7656,-0.012
4.001,0.7696,-0.012
4.018,0.7736,-0.012
4.035,0.7816,-0.012
4.051,0.7856,-0.012
4.068,0.7935,-0.012
4.085,0.7975,-0.012
4.102,0.8015,-0.012
4.118,0.8055,-0.012
4.135,0.8095,-0.012
4.152,0.8135,-0.012
4.168,0.8135,-0.012
4.185,0.8175,-0.012
4.218,0.8175,-0.012
4.235,0.8175,-0.012
4.25,0.8175,-0.012
4.268,0.8175,-0.008
4.284,0.8214,-0.008
4.301,0.8214,-0.008
4.318,0.8254,-0.004
4.334,0.8254,-0.004
4.351,0.8294,0
4.368,0.8294,0
4.385,0.8334,0
4.401,0.8374,0.004
4.418,0.8414,0.008
4.435,0.8454,0.008
4.452,0.8494,0.012
4.467,0.8533,0.012
4.483,0.8573,0.0159
4.5,0.8613,0.0159
4.517,0.8653,0.0159
4.535,0.8693,0.0159
4.55,0.8733,0.0199
4.566,0.8733,0.0199
4.583,0.8773,0.0199
4.601,0.8813,0.0199
4.618,0.8852,0.0199
4.635,0.8892,0.0199
4.65,0.8972,0.0199
4.668,0.9052,0.0199
