# type=grids viewport=1280x720 start=536,267 end=743,262 direction=grid_hop
t,rx,ry
0,0,0
0.183,0.0049,0
0.191,0.0099,0
0.199,0.0148,0
0.212,0.0247,0
0.229,0.0445,0
0.245,0.0693,0
0.263,0.099,0
0.28,0.1336,0
0.296,0.1732,0
0.313,0.2376,0
0.329,0.297,0
0.346,0.3762,0
0.364,0.4108,0
0.38,0.4405,0
0.396,0.4702,0
0.413,0.4801,0
0.429,0.49,0
0.446,0.495,0
0.463,0.4999,0
0.48,0.4999,0
0.702,0.5049,0
0.713,0.5049,0
0.73,0.5098,0
0.746,0.5197,0
0.762,0.5246,0
0.779,0.5345,0
0.796,0.5444,0
0.812,0.5494,0
0.83,0.5593,-0.0049
0.846,0.5642,-0.0049
0.863,0.5692,-0.0099
0.879,0.5791,-0.0099
0.896,0.5791,-0.0099
0.911,0.5791,-0.0099
0.933,0.584,-0.0099
0.965,0.584,-0.0099
0.973,0.584,-0.0099
0.981,0.584,-0.0099
0.995,0.589,-0.0148
1.012,0.5939,-0.0148
1.029,0.6038,-0.0148
1.046,0.6137,-0.0198
1.063,0.6286,-0.0198
1.079,0.6434,-0.0198
1.096,0.6682,-0.0247
1.114,0.683,-0.0247
1.13,0.7028,-0.0247
1.146,0.7226,-0.0247
1.162,0.7424,-0.0247
1.179,0.7573,-0.0247
1.195,0.7771,-0.0247
1.213,0.7969,-0.0247
1.231,0.8117,-0.0247
1.246,0.8266,-0.0247
1.264,0.8414,-0.0198
1.28,0.8563,-0.0198
1.295,0.8761,-0.0198
1.312,0.886,-0.0198
1.328,0.8959,-0.0198
1.345,0.9008,-0.0198
1.362,0.9058,-0.0198
1.379,0.9058,-0.0198
1.395,0.9107,-0.0198
1.413,0.9157,-0.0198
1.429,0.9206,-0.0198
1.446,0.9256,-0.0198
1.462,0.9305,-0.0198
1.479,0.9305,-0.0198
1.498,0.9404,-0.0198
1.515,0.9454,-0.0198
1.532,0.9503,-0.0198
1.545,0.9602,-0.0198
1.562,0.9652,-0.0198
1.579,0.9701,-0.0198
1.596,0.9751,-0.0198
1.612,0.98,-0.0198
1.629,0.9899,-0.0198
1.645,0.9899,-0.0198
1.662,0.9949,-0.0198
1.679,0.9998,-0.0198
1.695,0.9998,-0.0198
1.712,0.9998,-0.0198
1.98,0.9998,-0.0198
2.065,0.9998,-0.0198
