# type=grids viewport=1280x720 start=769,256 end=707,366 direction=grid_hop
t,rx,ry
0,0,0
0.252,0,0.0081
0.26,0,0.0081
0.267,-0.0081,0.0244
0.281,-0.0244,0.0406
0.297,-0.0487,0.0812
0.315,-0.0731,0.1461
0.332,-0.0974,0.2192
0.348,-0.1218,0.2923
0.364,-0.1462,0.3816
0.381,-0.1543,0.4465
0.398,-0.1624,0.4871
0.414,-0.1787,0.5358
0.431,-0.1787,0.5602
0.447,-0.1868,0.5764
0.464,-0.1868,0.5764
0.481,-0.1868,0.5845
0.497,-0.1868,0.5845
0.549,-0.1868,0.5845
0.556,-0.1949,0.5845
0.566,-0.1949,0.5845
0.582,-0.1949,0.5927
0.598,-0.203,0.6008
0.614,-0.2111,0.617
0.632,-0.2193,0.6414
0.647,-0.2355,0.6738
0.664,-0.2436,0.6982
0.681,-0.2517,0.7307
0.698,-0.268,0.7631
0.715,-0.2761,0.7875
0.732,-0.2761,0.8119
0.747,-0.2842,0.82
0.764,-0.2842,0.8281
0.781,-0.2842,0.8362
0.797,-0.2842,0.8443
0.814,-0.2842,0.8443
0.932,-0.2842,0.8443
0.939,-0.2842,0.8524
0.951,-0.2842,0.8606
0.966,-0.2842,0.8606
0.981,-0.2923,0.8849
0.997,-0.2923,0.9012
1.014,-0.2923,0.9093
1.032,-0.2923,0.9174
1.049,-0.2923,0.9174
1.064,-0.2923,0.9255
1.083,-0.2761,0.9255
1.098,-0.2599,0.9255
1.116,-0.2436,0.9255
1.131,-0.2111,0.9255
1.148,-0.1949,0.9255
1.164,-0.1705,0.9174
1.181,-0.1624,0.9093
1.197,-0.1543,0.9012
1.215,-0.1462,0.9012
1.231,-0.1381,0.893
1.247,-0.1381,0.893
1.264,-0.1299,0.893
1.283,-0.1299,0.893
1.433,-0.1299,0.893
1.809,-0.1381,0.893
1.817,-0.1462,0.893
1.833,-0.1624,0.893
1.848,-0.203,0.8849
1.865,-0.2599,0.8768
1.882,-0.3248,0.8768
1.898,-0.3898,0.8687
1.915,-0.4466,0.8687
1.931,-0.4954,0.8687
