# type=grids viewport=1280x720 start=695,369 end=729,347 direction=grid_hop
t,rx,ry
0,0,0
0.017,0.2252,-0.025
0.034,0.3504,-0.025
0.051,0.5005,-0.05
0.067,0.5756,-0.0751
0.084,0.6256,-0.0751
0.1,0.6507,-0.0751
0.117,0.6757,-0.0751
0.241,0.6757,-0.0751
0.252,0.6757,-0.0751
0.268,0.7007,-0.1001
0.283,0.7758,-0.1001
0.301,0.8258,-0.1001
0.318,0.9009,-0.1001
0.333,0.951,-0.1251
0.352,1.026,-0.1251
0.367,1.0761,-0.1251
0.383,1.1261,-0.1251
0.4,1.1512,-0.1251
0.417,1.1762,-0.1251
0.434,1.1762,-0.1251
0.45,1.1762,-0.1251
0.467,1.2012,-0.1501
0.483,1.2262,-0.1501
0.5,1.2262,-0.1501
0.517,1.2513,-0.1501
0.534,1.2513,-0.1501
0.55,1.2763,-0.1501
0.569,1.2763,-0.1501
0.584,1.2763,-0.1501
0.602,1.2763,-0.1501
0.617,1.3013,-0.1501
0.635,1.3263,-0.1501
0.65,1.3514,-0.1501
0.667,1.3764,-0.1751
0.684,1.3764,-0.1751
0.701,1.4014,-0.1751
0.716,1.4264,-0.2001
0.736,1.4264,-0.2001
0.75,1.4515,-0.2001
0.767,1.4515,-0.2001
0.802,1.4515,-0.2001
0.834,1.4515,-0.2252
0.838,1.4515,-0.2252
0.85,1.4765,-0.2252
0.866,1.4765,-0.2502
0.883,1.5015,-0.2502
0.899,1.5015,-0.2752
0.916,1.5265,-0.3002
0.933,1.5265,-0.3002
0.95,1.5265,-0.3002
0.967,1.5265,-0.3002
0.984,1.5265,-0.3002
1.034,1.5265,-0.3252
1.063,1.5265,-0.3252
1.079,1.5265,-0.3252
1.094,1.5265,-0.3252
1.216,1.5265,-0.3252
1.222,1.5265,-0.3503
1.233,1.5265,-0.3503
1.249,1.5265,-0.4003
1.266,1.5265,-0.4503
1.283,1.5265,-0.5004
1.3,1.5265,-0.5254
1.317,1.5516,-0.5504
1.335,1.5516,-0.5754
1.351,1.5516,-0.5754
1.367,1.5516,-0.5754
1.383,1.5516,-0.6004
1.401,1.5265,-0.6004
1.416,1.4515,-0.6004
1.434,1.3514,-0.6004
1.451,1.2262,-0.6004
1.466,1.1261,-0.6004
1.484,1.026,-0.6004
1.5,0.951,-0.5754
1.516,0.9009,-0.5504
1.533,0.8759,-0.5254
1.55,0.8759,-0.5254
1.567,0.8509,-0.5254
1.785,0.8509,-0.5254
