# type=grids viewport=1280x720 start=741,280 end=645,466 direction=grid_hop
t,rx,ry
0,0,0
0.331,0,0
0.338,-0.0049,0
0.347,-0.0146,0
0.364,-0.0195,0.0049
0.38,-0.0391,0.0244
0.397,-0.0684,0.0537
0.413,-0.1172,0.1025
0.429,-0.1855,0.1904
0.446,-0.2197,0.2392
0.463,-0.2588,0.3027
0.479,-0.2881,0.3612
0.496,-0.3174,0.4101
0.513,-0.332,0.4491
0.53,-0.3467,0.4833
0.547,-0.3613,0.5028
0.563,-0.376,0.5321
0.582,-0.3955,0.5663
0.598,-0.4102,0.5955
0.614,-0.4248,0.62
0.63,-0.4492,0.6639
0.646,-0.4639,0.6932
0.663,-0.4785,0.7176
0.679,-0.4883,0.742
0.697,-0.5029,0.7762
0.712,-0.5127,0.8103
0.731,-0.5176,0.8299
0.748,-0.5273,0.8592
0.763,-0.5371,0.8884
0.78,-0.542,0.9031
0.796,-0.5518,0.9177
0.812,-0.5518,0.9226
0.829,-0.5518,0.9226
0.846,-0.5518,0.9275
1.146,-0.5518,0.9275
1.153,-0.5518,0.9275
1.164,-0.5518,0.9275
1.181,-0.5469,0.9275
1.196,-0.542,0.9275
1.212,-0.5371,0.9275
1.229,-0.5322,0.9275
1.246,-0.5273,0.9226
1.263,-0.5225,0.9226
1.281,-0.5176,0.9226
1.296,-0.5127,0.9177
1.313,-0.5078,0.9177
1.331,-0.5029,0.9129
1.347,-0.5029,0.9129
1.364,-0.4932,0.9129
1.379,-0.4834,0.908
1.396,-0.4834,0.9031
1.413,-0.4785,0.9031
1.431,-0.4736,0.8982
1.446,-0.4736,0.8982
1.464,-0.4736,0.8982
1.48,-0.4736,0.8982
1.562,-0.4736,0.8982
1.568,-0.4688,0.8982
1.579,-0.4688,0.8982
1.596,-0.4688,0.8933
1.613,-0.4639,0.8933
1.629,-0.4639,0.8933
1.646,-0.459,0.8933
1.663,-0.459,0.8884
1.68,-0.459,0.8884
1.697,-0.4541,0.8884
1.715,-0.4541,0.8884
1.848,-0.4541,0.8884
1.872,-0.459,0.8884
1.887,-0.459,0.8884
2.132,-0.459,0.8884
