# type=grids viewport=1280x720 start=734,460 end=741,243 direction=grid_hop
t,rx,ry
0,0,0
0.382,0,0
0.389,0,-0.0047
0.4,0,-0.0094
0.414,0,-0.0189
0.43,0,-0.0472
0.447,0,-0.1037
0.464,0,-0.1839
0.48,0,-0.3536
0.497,0,-0.4432
0.513,0,-0.5281
0.53,0,-0.5705
0.547,0,-0.5988
0.563,0,-0.613
0.58,0,-0.6177
0.749,0,-0.6224
0.757,0,-0.6318
0.765,0,-0.6413
0.781,0,-0.6554
0.797,-0.0094,-0.6884
0.814,-0.0189,-0.7261
0.831,-0.0283,-0.7733
0.847,-0.033,-0.8016
0.863,-0.0472,-0.844
0.88,-0.0519,-0.8629
0.897,-0.0566,-0.8723
0.913,-0.0566,-0.877
0.93,-0.0566,-0.8817
0.947,-0.0613,-0.8817
0.964,-0.0613,-0.8817
0.98,-0.0613,-0.8817
1.108,-0.0613,-0.8817
1.116,-0.0566,-0.8817
1.131,-0.0472,-0.8817
1.15,-0.0377,-0.8817
1.166,-0.0141,-0.8817
1.18,0,-0.8817
1.197,0.0236,-0.8817
1.214,0.033,-0.877
1.231,0.0472,-0.877
1.247,0.0519,-0.877
1.263,0.0566,-0.877
1.281,0.0566,-0.877
1.331,0.0566,-0.877
1.339,0.0566,-0.877
1.347,0.0613,-0.877
1.367,0.0613,-0.877
1.383,0.0707,-0.8817
1.399,0.0802,-0.8864
1.414,0.0896,-0.8912
1.43,0.1038,-0.9006
1.447,0.1085,-0.9053
1.463,0.1132,-0.91
1.481,0.1132,-0.9147
1.496,0.1179,-0.9147
1.514,0.1179,-0.9194
1.699,0.1179,-0.9194
1.707,0.1179,-0.9242
1.716,0.1179,-0.9336
1.732,0.1226,-0.9383
1.749,0.1226,-0.9524
1.765,0.1226,-0.9713
1.781,0.1226,-0.9855
1.797,0.1226,-0.9902
1.813,0.1226,-0.9949
1.832,0.1226,-0.9996
1.906,0.1226,-0.9996
1.915,0.1226,-0.9996
1.931,0.1179,-0.9996
1.948,0.1038,-0.9996
1.965,0.0896,-0.9996
1.98,0.0707,-0.9996
1.997,0.0519,-0.9996
2.013,0.0377,-0.9996
2.03,0.033,-0.9996
2.046,0.0283,-0.9996
2.063,0.0283,-0.9996
2.315,0.0283,-0.9996
