# type=grids viewport=1280x720 start=747,407 end=734,367 direction=grid_hop
t,rx,ry
0,0,0
0.017,-0.0719,-0.3352
0.033,-0.0958,-0.6465
0.05,-0.0958,-0.8141
0.066,-0.0958,-1.0536
0.083,-0.0958,-1.1254
0.099,-0.0958,-1.1494
0.116,-0.0958,-1.1733
0.327,-0.0958,-1.1733
0.335,-0.0719,-1.1733
0.351,-0.0479,-1.1733
0.367,-0.024,-1.1973
0.384,0.0479,-1.1973
0.4,0.0958,-1.1973
0.419,0.1198,-1.2212
0.432,0.1916,-1.2212
0.454,0.2156,-1.2212
0.468,0.2635,-1.2212
0.482,0.2874,-1.2212
0.499,0.3114,-1.2212
0.516,0.3114,-1.2212
0.533,0.3353,-1.2212
0.567,0.3353,-1.2212
0.573,0.3353,-1.2212
0.584,0.3353,-1.2212
0.6,0.3593,-1.2212
0.619,0.3593,-1.2212
0.634,0.3593,-1.2212
0.79,0.3593,-1.2212
0.802,0.3593,-1.2212
0.818,0.3593,-1.1973
0.832,0.3593,-1.1973
0.851,0.3593,-1.1973
0.867,0.3593,-1.1973
0.883,0.3593,-1.1733
0.899,0.3593,-1.1733
0.916,0.3593,-1.1494
0.933,0.3593,-1.1494
0.95,0.3593,-1.1494
1,0.3593,-1.1254
1.004,0.3593,-1.1254
1.016,0.3593,-1.1254
1.033,0.3353,-1.1254
1.05,0.3114,-1.1015
1.068,0.2635,-1.0775
1.083,0.2156,-1.0536
1.101,0.1677,-1.0536
1.116,0.0958,-1.0296
1.133,0.0479,-1.0057
1.15,0,-1.0057
1.166,-0.0479,-1.0057
1.183,-0.0958,-1.0057
1.2,-0.1198,-1.0057
1.215,-0.1677,-1.0057
1.233,-0.1677,-1.0057
1.249,-0.1916,-1.0057
1.266,-0.1916,-1.0057
1.436,-0.1916,-1.0057
1.443,-0.1916,-1.0057
1.452,-0.1916,-1.0057
1.476,-0.1916,-1.0057
1.486,-0.1916,-0.9818
1.517,-0.2156,-0.9818
1.549,-0.2156,-0.9818
1.555,-0.2156,-0.9818
1.568,-0.2156,-0.9818
1.582,-0.2156,-0.9818
1.6,-0.2395,-0.9818
1.617,-0.2635,-0.9578
1.634,-0.2635,-0.9578
1.649,-0.2874,-0.9578
1.665,-0.2874,-0.9578
1.691,-0.2874,-0.9578
1.819,-0.2874,-0.9578
