# type=grids viewport=1280x720 start=548,462 end=521,256 direction=grid_hop
t,rx,ry
0,0,0
0.351,0,0
0.354,0,-0.0049
0.368,0,-0.0148
0.381,-0.0049,-0.0296
0.397,-0.0099,-0.0691
0.413,-0.0148,-0.1283
0.43,-0.0197,-0.2023
0.446,-0.0247,-0.2911
0.463,-0.0247,-0.4095
0.48,-0.0247,-0.4786
0.496,-0.0247,-0.5526
0.513,-0.0247,-0.6217
0.529,-0.0247,-0.676
0.546,-0.0247,-0.7056
0.562,-0.0247,-0.75
0.579,-0.0247,-0.7697
0.595,-0.0247,-0.7796
0.612,-0.0247,-0.7845
0.629,-0.0247,-0.7845
0.655,-0.0247,-0.7845
0.776,-0.0247,-0.7894
0.783,-0.0247,-0.7944
0.796,-0.0247,-0.7993
0.812,-0.0296,-0.8092
0.831,-0.0345,-0.8289
0.846,-0.0345,-0.8486
0.863,-0.0395,-0.8684
0.879,-0.0494,-0.8881
0.896,-0.0543,-0.9029
0.912,-0.0592,-0.9128
0.929,-0.0642,-0.9227
0.945,-0.0691,-0.9325
0.962,-0.074,-0.9375
0.979,-0.079,-0.9424
0.996,-0.079,-0.9424
1.012,-0.079,-0.9473
1.03,-0.0839,-0.9473
1.046,-0.0839,-0.9473
1.062,-0.0839,-0.9473
1.145,-0.0839,-0.9473
1.158,-0.0839,-0.9473
1.166,-0.0839,-0.9523
1.178,-0.0888,-0.9523
1.195,-0.0888,-0.9572
1.212,-0.0987,-0.9621
1.23,-0.1036,-0.972
1.245,-0.1135,-0.9819
1.264,-0.1184,-0.9868
1.28,-0.1234,-0.9868
1.296,-0.1234,-0.9917
1.312,-0.1234,-0.9917
1.35,-0.1283,-0.9917
1.414,-0.1283,-0.9917
