# type=grids viewport=1280x720 start=702,461 end=734,460 direction=grid_hop
t,rx,ry
0,0,0
0.017,0.2499,0.281
0.037,0.531,0.4996
0.053,0.6559,0.6245
0.067,0.7496,0.687
0.083,0.7809,0.687
0.1,0.7809,0.7182
0.116,0.8121,0.7182
0.135,0.8121,0.7182
0.302,0.8121,0.7182
0.31,0.8121,0.7182
0.318,0.8433,0.7182
0.333,0.8433,0.7182
0.35,0.9058,0.7182
0.367,0.937,0.7182
0.384,0.9995,0.7182
0.401,1.062,0.7182
0.419,1.1245,0.7182
0.436,1.1869,0.7182
0.45,1.2806,0.7182
0.467,1.3431,0.7182
0.482,1.4056,0.7182
0.499,1.468,0.7182
0.517,1.5305,0.7182
0.535,1.593,0.7182
0.549,1.6242,0.7182
0.568,1.6554,0.7182
0.583,1.6554,0.7182
0.599,1.6867,0.7182
0.616,1.6867,0.7182
0.653,1.6867,0.7182
0.661,1.7179,0.7182
0.669,1.7179,0.687
0.683,1.7179,0.687
0.7,1.7491,0.687
0.717,1.8116,0.687
0.734,1.8741,0.6558
0.75,1.9366,0.6558
0.768,1.9678,0.6558
0.785,1.999,0.6245
0.803,2.0303,0.6245
0.817,2.0615,0.6245
0.833,2.0615,0.6245
0.877,2.0615,0.5933
0.885,2.0303,0.5933
0.899,2.0303,0.5933
0.916,1.999,0.5621
0.934,1.9366,0.5308
0.951,1.8116,0.4372
0.966,1.7804,0.4059
0.983,1.6554,0.3747
0.999,1.468,0.3435
1.016,1.4056,0.3123
1.032,1.3119,0.3123
1.049,1.2806,0.3123
1.066,1.2494,0.3123
1.082,1.2182,0.3123
1.229,1.2182,0.3123
1.236,1.2182,0.3123
1.25,1.1869,0.281
1.266,1.1245,0.2186
1.284,1.062,0.1561
1.299,1.0307,0.0937
1.318,0.9995,0.0625
1.335,0.9683,0.0312
1.349,0.937,0.0312
1.366,0.937,0.0312
1.382,0.937,0.0312
1.568,0.937,0.0312
1.572,0.937,0
1.583,0.937,0
1.599,0.9683,0
1.616,0.9995,0
1.633,0.9995,-0.0312
1.649,0.9995,-0.0312
1.669,0.9995,-0.0312
