# type=grids viewport=1280x720 start=596,459 end=644,453 direction=grid_hop
t,rx,ry
0,0,0
0.015,0.1693,0.0212
0.033,0.2962,0.0423
0.048,0.4443,0.0635
0.066,0.5924,0.0846
0.081,0.6347,0.1058
0.099,0.6559,0.1058
0.115,0.677,0.1058
0.131,0.677,0.1058
0.156,0.677,0.1058
0.189,0.6982,0.1058
0.2,0.6982,0.1058
0.215,0.6982,0.1058
0.233,0.7193,0.1058
0.248,0.804,0.1058
0.265,0.8463,0.1269
0.281,0.9098,0.1269
0.298,0.9521,0.1481
0.314,1.0155,0.1481
0.334,1.0579,0.1692
0.351,1.1002,0.1904
0.366,1.1425,0.1904
0.383,1.1637,0.2115
0.398,1.1848,0.2115
0.415,1.1848,0.2115
0.431,1.206,0.2115
0.449,1.2271,0.2115
0.464,1.2483,0.2115
0.482,1.2906,0.2115
0.499,1.3118,0.2115
0.514,1.3541,0.2115
0.532,1.3752,0.2115
0.548,1.3964,0.2115
0.566,1.4175,0.2115
0.581,1.4387,0.2115
0.599,1.4599,0.2115
0.615,1.481,0.2115
0.632,1.5022,0.2115
0.648,1.5022,0.2115
0.665,1.5233,0.2115
0.681,1.5445,0.2115
0.698,1.5445,0.2115
0.716,1.5656,0.2115
0.732,1.5656,0.2115
0.749,1.5656,0.2115
0.765,1.5656,0.1692
0.782,1.5656,0.1481
0.798,1.5656,0.0846
0.815,1.5656,0
0.831,1.5445,-0.0423
0.849,1.5445,-0.0846
0.864,1.5233,-0.1058
0.882,1.5233,-0.1269
0.898,1.5022,-0.1269
0.914,1.5022,-0.1269
0.932,1.5022,-0.1269
0.949,1.5022,-0.1269
0.966,1.4599,-0.1269
0.981,1.4387,-0.1269
0.999,1.3329,-0.1269
1.015,1.2694,-0.1269
1.032,1.1637,-0.1269
1.048,1.1002,-0.1269
1.064,1.0579,-0.1058
1.081,1.0155,-0.1058
1.097,1.0155,-0.1058
1.116,0.9944,-0.1058
1.133,0.9944,-0.1058
1.217,0.9944,-0.1058
