# type=grids viewport=1280x720 start=748,303 end=741,280 direction=grid_hop
t,rx,ry
0,0,0
0.016,0.0416,-0.4991
0.033,0.0832,-0.8319
0.05,0.0832,-1.123
0.066,0.0832,-1.2894
0.083,0.0832,-1.4142
0.1,0.0832,-1.4974
0.117,0.0832,-1.539
0.133,0,-1.5806
0.15,-0.0416,-1.5806
0.166,-0.1248,-1.5806
0.183,-0.1248,-1.5806
0.199,-0.1248,-1.5806
0.251,-0.1664,-1.5806
0.267,-0.1664,-1.5806
0.284,-0.1664,-1.5806
0.305,-0.2496,-1.6221
0.318,-0.2912,-1.6221
0.334,-0.3744,-1.6637
0.35,-0.4993,-1.7053
0.367,-0.6657,-1.7469
0.383,-0.7489,-1.7885
0.399,-0.8321,-1.7885
0.416,-0.9153,-1.8301
0.433,-0.9569,-1.8717
0.451,-0.9985,-1.9133
0.466,-1.0401,-1.9133
0.483,-1.0817,-1.9549
0.5,-1.1233,-1.9549
0.517,-1.1233,-1.9549
0.533,-1.1233,-1.9549
0.549,-1.1649,-1.9549
0.566,-1.2065,-1.9549
0.582,-1.2481,-1.9549
0.6,-1.2897,-1.9549
0.616,-1.2897,-1.9549
0.633,-1.3313,-1.9549
0.649,-1.3313,-1.9549
0.69,-1.3313,-1.9549
0.749,-1.3313,-1.9549
0.754,-1.373,-1.9549
0.766,-1.373,-1.9549
0.783,-1.4146,-1.9133
0.801,-1.4562,-1.8301
0.817,-1.4978,-1.7053
0.835,-1.4978,-1.5806
0.849,-1.5394,-1.4558
0.868,-1.5394,-1.331
0.883,-1.5394,-1.2478
0.9,-1.4978,-1.1646
0.916,-1.4146,-1.123
0.933,-1.3313,-1.0814
0.949,-1.2481,-1.0398
0.966,-1.1649,-1.0398
0.983,-1.0817,-0.9982
1.001,-0.9985,-0.9982
1.017,-0.9569,-0.9567
1.033,-0.8737,-0.9151
1.05,-0.8321,-0.9151
1.068,-0.7905,-0.8735
1.083,-0.7489,-0.8735
1.101,-0.7489,-0.8735
1.116,-0.7073,-0.8735
1.267,-0.7073,-0.8735
1.274,-0.7073,-0.8735
1.303,-0.7073,-0.8735
1.305,-0.6657,-0.8735
1.316,-0.6657,-0.8735
1.333,-0.6657,-0.8735
1.349,-0.6241,-0.9151
1.366,-0.5825,-0.9151
1.383,-0.5409,-0.9151
1.4,-0.4993,-0.9151
1.416,-0.4577,-0.9567
1.433,-0.416,-0.9567
1.449,-0.3744,-0.9567
1.466,-0.3328,-0.9567
1.484,-0.3328,-0.9567
1.5,-0.2912,-0.9567
1.516,-0.2912,-0.9567
2.02,-0.2912,-0.9567
