# type=grids viewport=1280x720 start=758,467 end=639,352 direction=grid_hop
t,rx,ry
0,0,0
0.179,0,-0.0062
0.185,0,-0.0124
0.197,0,-0.0124
0.213,-0.0062,-0.031
0.441,-0.0062,-0.031
0.449,-0.0124,-0.031
0.464,-0.0186,-0.031
0.48,-0.031,-0.031
0.497,-0.0558,-0.0372
0.514,-0.0806,-0.0496
0.531,-0.1178,-0.0744
0.546,-0.1613,-0.1054
0.564,-0.2171,-0.1426
0.58,-0.2605,-0.1736
0.596,-0.2853,-0.186
0.613,-0.3039,-0.1984
0.629,-0.3101,-0.2046
0.646,-0.3163,-0.2046
0.664,-0.3163,-0.2046
0.682,-0.3225,-0.2108
0.746,-0.3225,-0.2108
0.753,-0.3287,-0.217
0.763,-0.3349,-0.2232
0.781,-0.3535,-0.2418
0.797,-0.3846,-0.2728
0.813,-0.4218,-0.31
0.831,-0.459,-0.341
0.846,-0.5024,-0.3721
0.863,-0.5272,-0.3907
0.879,-0.552,-0.4155
0.897,-0.5706,-0.4279
0.914,-0.583,-0.4341
0.93,-0.5892,-0.4403
0.946,-0.5954,-0.4403
0.963,-0.6016,-0.4403
0.979,-0.6016,-0.4403
0.999,-0.6078,-0.4403
1.015,-0.6078,-0.4403
1.031,-0.6078,-0.4403
1.048,-0.6078,-0.4465
1.068,-0.6141,-0.4465
1.082,-0.6265,-0.4527
1.098,-0.6451,-0.4651
1.114,-0.6637,-0.4775
1.13,-0.6885,-0.4899
1.147,-0.7257,-0.5271
1.163,-0.7443,-0.5457
1.179,-0.7629,-0.5643
1.196,-0.7753,-0.5829
1.213,-0.7877,-0.5953
1.23,-0.7939,-0.6077
1.246,-0.7939,-0.6077
1.264,-0.7939,-0.6139
1.279,-0.7939,-0.6139
1.407,-0.7939,-0.6139
1.415,-0.7939,-0.6139
1.43,-0.7877,-0.6201
1.448,-0.7753,-0.6263
1.465,-0.7567,-0.6263
1.481,-0.7443,-0.6325
1.497,-0.7319,-0.6325
1.514,-0.7195,-0.6325
1.529,-0.7133,-0.6325
1.546,-0.7133,-0.6325
1.702,-0.7133,-0.6325
1.713,-0.7071,-0.6325
1.718,-0.7071,-0.6325
1.729,-0.7009,-0.6387
1.746,-0.6947,-0.6387
1.763,-0.6885,-0.6387
1.78,-0.6761,-0.6449
1.796,-0.6699,-0.6449
1.814,-0.6699,-0.6449
1.83,-0.6637,-0.6449
1.898,-0.6637,-0.6449
1.949,-0.6637,-0.6449
2.357,-0.6637,-0.6449
2.364,-0.6699,-0.6511
2.381,-0.6699,-0.6511
2.396,-0.6823,-0.6635
2.413,-0.6947,-0.6759
2.432,-0.7071,-0.6821
2.446,-0.7195,-0.6945
